text,complexity,taboo_word_0,taboo_word_1,taboo_word_2,taboo_word_3,taboo_word_4,taboo_word_5,taboo_word_6,taboo_word_7,taboo_word_8,taboo_word_9
لندکروز,2,ماشین,آفرود,تويوتا,شاسی بلند,قیمت,کامیون,راحتی,قدرت,نیاز,سفر
گند دماغ,3,بدبویی,تعدیل حواس,عفونت,سرفه,آلرژی,بیماری,تنگی نفس,خس خس,گرفتگی بینی,تنفس
شایسته,3,مناسب,نیکو,قابل قبول,لایق,درخور,شایستگی,برتر,کمال,قضاوت,احترام
موذی,3,متقلب,فریب,ضدجوش,نیشدار,زهر,مکر,فریبنده,حقه,ناسزا,غیرقابل اعتماد
خوش رو,2,زیبا,چهره,مهر,خوشبو,جذاب,دلنشین,آرایش,دوستانه,شخصیت,محبوب
پرخاشگر,3,عصبی,خشونت,جنجال,تعارض,درگیری,پرخاش,استرس,خشم,تحریک,ناراحتی
تنبیه,2,مجازات,کیفر,تنبیه بدنی,دلسردی,تنش,عذاب,تحقیر,اخطار,شکنجه,ناراحت کننده
تنبل,1,کوتاه مدت,فعالیت,پویایی,زحمت,تلاش,شغف,سرگرمی,باشگاه,هزینه,کار
نمره بیست,2,امتیاز,کامل,بهترین,آزمون,مدرسه,تحصیل,موفقیت,صفر تا صد,معدل,تحقیق
باغبان,1,گیاه,کشاورزی,خاک,گلابی,محبت,درخت,نگهداری,سبزی,پرورش,فصل
عکاس,1,تصویر,دوربین,خلاقیت,شغل,گالری,نور,عکس,فناوری,صحنه,پرتره
طراح لباس,2,مد,دوخت,پارچه,خلاقیت,فشن,آرتیست,سلیقه,فروختن,سبک,نمایش
داور,1,قضاوت,مسابقه,رای,سوت,فوتبال,بازیکن,قانون,میدان,اختلاف,تصمیم
غواص,1,آب,زیر,شنا,تجسس,اکسیژن,محیط,دریا,تجهیزات,ماهی,عمق
عینک ساز,2,لنز,بصری,چشم,فریم,تجهیزات,طناب,تصفیه,خورشید,داروخانه,جراحی
گزارشگر,1,خبرنگار,رسانه,مصاحبه,تحقیق,اطلاعات,چاپ,مقاله,رویداد,تحلیل,انتشار
جاسوس,2,اطلاعات,پنهانی,دولت,پرونده,جاسوسی,شخصیت,عملیات,خائن,مخفی,تجسس
کوزه گر,2,سفالگری,دست ساز,هنر,کوزه,سازنده,رنگی,خاک,کارگاه,دستگاه,تزیین
چاه کن,2,حفاری,زمین,آب,دستگاه,نفت,معدن,بنیاد,بازرسی,کارگر,حفر
برلیانس,2,ماشین,خودرو,مدل,سدان,جاده,سرعت,رانندگی,خدمات,استایل,طراحی
اسکواش,2,ورزش,تنیس,میدان,راکت,دیواره,توپ,رقابت,سرعت,قوانین,بازی
آدیداس,2,کتانی,برند,ورزشی,مدل,لوگو,تولیدکننده,پوشاک,فوتبال,امتیاز,طراحی
نایک,2,کفش,مدل,ورزش,برند,لباس,چندملیتی,آرم,تولید,پیاده‌روی,غیررسمی
مسابقه فرمول یک,3,خودرو,سرعت,پیست,راننده,تعداد دور,قهرمانی,تیکت,موتور,استارت,مکالمه
جا لامپی,2,چراغ,نور,برق,محل,تزیین,اتاق,روشنایی,میز,سقف,وسایل
زننده,3,موسیقی,آهنگ,تنبک,ساز,خلاقیت,سرود,خواننده,نوازنده,تئاتر,شعر
شکوفا,2,رشد,گل,زندگی,طبیعت,زیبایی,فصل,باران,نور,امید,پلان
بزرگوار,3,شخصیت,عزت,لطافت,حسین,مهر,دوستانه,نجابت,وقار,احترام,محبت
پا به پا,2,همراه,دو,حرکت,همزمان,سفر,قدم,دوست,موسیقی,رقص,گردش
به قول معروف,3,مُثل,ضرب‌المثل,جمله,نقل قول,معنا,معروف,شناخته‌شده,بیان,شایع,قواعد
دست درازی,2,دزدی,سارق,مال مردم,غارت,دستبرد,سرقت,فریب,ناامن,قانون,نظارت
زبان درازی,2,زرنگی,پشت‌هم‌چینی,غیبت,شنیده‌ها,نق زدن,بزرگ‌گویی,بلندپروازی,روانی,شایعه,انتقاد
گولاخ,3,کوه,بلند,سنگی,طبیعت,جغرافیا,قله,سخت,دریاچه,پیمایش,ارتفاع
روزنامه دیواری,2,مقاله,نوشته,چاپ,اطلاعات,خبر,نمایش,کاغذ,طراحی,اطلاع رسانی,پروژه
چاه بازکن,2,ابزار,زیرزمینی,نشت,پمپ,رفع انسداد,آب,حفر,لجن,معمولا,پاکسازی
کنه,1,بیماری,میکروب,بید,حشره,قرمز,گاز,حساسیت,خارش,طبیعت,جاندار
عجل معلق,3,پرنده,پروانه,آسمان,خواب,طلوع,پرواز,فضا,بال,حرکت,معلق
bmw z4,2,خودرو,آلمان,اسپرت,ماشین,موتور,درجه یک,طراحی,سرعت,لوکس,دو نفره
benz sls,3,خودرو,سوپر اسپرت,مرسدس,سرعت,موتور,طراحی,دو در,روغن موتور,علاقه‌مندان,شرکت آلمانی
مداد رنگی,2,رنگ,نقاشی,کودک,خلاقیت,کتاب,طراحی,هنر,جعبه,مداد,تزیین
دفترچه,1,نوشتن,صفحه,کاغذ,یادداشت,مداد,اطلاعات,پوشه,خاطرات,تاریخ,برنامه‌ریز
امتحان,1,سوالات,نتیجه,آزمون,درس,مدرسه,نمره,آمادگی,کتاب,استاد,استرس
تحقیق,2,پژوهش,داده,بررسی,اطلاعات,تحلیل,علمی,مقاله,منبع,تجزیه و تحلیل,یافته
دفتر صد برگ,2,نوشتن,مداد,برگ,کتاب,مشق,کاور,فلز,تحریر,مدرسه,کاغذ
زبون باز,2,گفتگو,صحبت,نمی خوابم,فصاحت,بی وقفه,چرب زبانی,قانع کردن,بذله‌گویی,راحتی,زبان تیز
دفتر مشق,1,کتاب,نوشتن,تحصیل,مدرسه,قلم,صفحه,وظیفه,گذران,یادداشت,آموزش
دامپزشک,1,حیوانات,بیماری,پرستاری,تشخیص,درمان,پزشکی,یادگیری,علاج,کلینیک,جراحی
پیکان جوانان,2,خودرو,ماشین,رانندگی,ورزش,جوان,انتخاب,آزادی,رقابت,شکل,سرعت
وقت طلاست,2,زمان,باارزش,پرارزش,فرصت,صرفه‌جویی,استفاده,هدر,کار,زندگی,اهمیت
اسکی روی یخ,2,سرسره,یخ,ورزش,تخت یخی,سرعت,تعادل,پاسخ گویی,حرکات نمایشی,اسکی,تجربه
قوچ,2,دام,گوسفند,شکار,پرنده,پشم,دشت,شاخ,رنگین,گله,نر
قرقی,3,پرنده,آبزی,فلامینگو,دریا,بال,رنگین,زیبا,بزرگ,غروب,نر
پلیکان,2,پرنده,آب,منقار,پر,ساحل,فصل خزانی,ماهی,پرواز,گروه,بزرگ
بزرگوار,3,عزیز,محترم,خوش‌نام,شخصیت,شایسته,بزرگی,احترام,سزاوار,فرد,نیک
اینفینیتی,2,بینهایت,فرمول,نبودن,محاسبات,عدد,محدوده,شکل,انتهای,انتزاعی,چند بعدی
اُپل,1,خودرو,ماشین,مرسدس,رانندگی,سرعت,موتور,تولید,آلمان,سدان,لوکس
اسکانیا,2,شرکت,کامیون,سواری,مدل,تجاری,کشنده,تولید,نروژ,خودرو,موتور
زو,1,رنگ,مخلوط,گلی,طبیعی,روشن,زرد,خام,مداد,غذا,پخته
سوناتا,2,موسیقی,پیانو,ترکیب,قطعه,کلاسی,رمانتیک,تئوری,سمفونی,آهنگساز,بخش
میدان الکتریکی,3,برق,ولتاژ,میدان,قدرت,الکتریسیته,شار,ذرات,مغناطیسی,تأثیر,نیرو
میدان مغناطیسی,3,برق,میدان,قطب,مغناطیس,فلز,اشعه,قدرتمند,الکتریسیته,کشش,فیزیک
ماتریس,3,سطر,ستون,جدول,عدد,صفحه,مجموعه,محاسبات,تحلیل,ریاضیات,داده
نو بیاد به بازار ,2,خرید,مغازه,اجناس,پول,فروشنده,مشتری,محصول,تخفیف,چانه زنی,کالا
بو گندو,3,پسماند,بوی نامطبوع,آلودگی,زباله,فساد,تعفن,بوی بد,نوشیدنی فاسد,بوی متعفن,محیط کثیف
برنج,1,غذا,غلات,خوراک,پخته,سفید,آشپزی,برنجی,پلو,کشاورزی,آش
دایناسور,1,پیشاتاریخ,قاره,گوشتی,جاندار,استخوان,غول,شفاف,پیشرفته,انقراض,فسیل
دیوار موش داره,2,سوسک,خرگوش,پنهان,حیوانات,گودال,حفره,غار,قنات,جوندگان,صدا
چوب کاری کردن,3,نجاری,ابزار,چوب,کارگاه,ساخت,تراشیدن,مبل,دستگاه,منبت,مشغول
شکسته نفسی کردن,3,تواضع,افتادگی,خودکم بینی,نقد,خودراستی,شکست,فخر کردن,بی خیالی,دروغ,تظاهر
متکبر,3,خودخواه,غرور,فخر,بالا,عجیب,مغرور,افتخار,قضاوت,سرکش,برتری
بانجی جامپینگ,2,پرش,طناب,ارتفاع,هیجان,آزاد,سقوط,سرگرمی,ورزش,ماجراجویی,تجربه
نخود,1,حبوبات,پروتئین,خوراکی,سالاد,مرغوب,آش,مغذی,غذای گیاهی,تنقلات,آشپزی
لیمیوزین,2,ماشین,خودرو,جایگاه,مجلل,مسافر,شیک,طولانی,سفر,راننده,پارکینگ
گرگ بارون دیده,3,حیوان,شب,صدا,زیستگاه,بیدار,شکار,گرما,تنهایی,چشم,پشم
بوگاتی ویرون,2,خودرو,سرعت,لوکس,اسپرت,موتور,فراری,طراحی,رقابت,قیمت,مخصوص
اختاپوس,2,پیرنه,بی‌مهره,دریایی,پروانه,بازو,چندپایی,غذا,شکارچی,ابریشم,نوعی جانور
لوکوموتیو ران,2,قطار,مسافر,ریل,حرکت,راه آهن,سکهبان,حرکت دادن,بخاری,موتور,سفر
کینه شتری,2,انتقام,خشم,رنجش,کینه,نفرت,تلافی,دلخوری,مخاصمت,دشمنی,بيش‌داوری
از دماغ فیل افتاده,2,عجیب,غریب,خنده دار,غیرمعمولی,مضحک,تعارف,بامزه,غلو,بی‌معنی,شگفت‌انگیز
آش ماست,3,ماست,خوراکی,ترشی,مغذی,پیشنهاد,خنک,غذای سنتی,دوغ,محل اسید,با ماست
خوراک مرغ,3,گوشت,پروتئین,مرغابی,آشپزی,غذا,علفخوار,کباب,غذای اصلی,پسته,سالاد
خوراک گوشت,3,پروتئین,غذا,کباب,خورشت,جانور,مزاج,پخت,گوشت‌خوار,لخته,سیر
مقنعه,1,حجاب,زنان,سر,مد,دینی,پوشش,مذهب,ایران,اسلامی,پوشاک
میان وعده,2,خوراکی,غذا,اسنک,غذای کوچک,صبحانه,نوشیدنی,شام,نیمرو,فست فود,کالری
ماشین,2,خودرو,رانندگی,چرخ,موتور,سرعت,بنزین,گاز,پلاک,تعمیر,حمل و نقل
زنگ کلاس,2,مدرسه,آموزش,پیک,کتاب,معلم,دانش‌آموز,شروع,پایان,سر وقت,ساعت
قطره قطره جمع گردد ,2,مجموعه,آب,جمع,تجمع,اندوختن,کمیت,پاشیدن,آغوش,نقطه,مرحله
ون ,1,خودرو,تجارت,مسافر,پیاده,اجاره,سفر,راننده,جاده,وسیله,مکان
ماهی فروش,2,غذا,بازار,خرید,پختن,صید,آب,فیش,تجارت,فروشنده,دریا
سراتو,2,خودرو,ماشین,کره,مدل,شیک,کشور,پلاستیک,شاسی,موتور,صندوق عقب
جک s5,3,خودرو,ماشین,یکسوز,ترمز,چرخ,سرعت,رانندگی,سوخت,ذخیره,قطعات
قالپاق,1,چرخ,خودرو,پوشش,رینگ,فلزی,تزیینی,دکوری,سازماندهی,خلاصه,جلوه
مه شکن,2,دود,پوشش,تاریکی,دستور,پراکندگی,خطر,سرعت,پدیده,سفر,عدم دید
وانت,1,خودرو,بار,حمل و نقل,وسیله,چرخ,دریچه,راننده,باربری,موتور,خارجی
خودرو,1,ماشین,وسیله نقلیه,رانندگی,چرخ,بنزین,سرنشین,سفر,خودروهای برقی,جاده,موتور
مزدا ۳,2,خودرو,ماشین,ژاپنی,شاسی,مدل,سرعت,راننده,دنده,اقتصادی,طراحی
مدیران خودرو,3,شرکت,خودرو,رئیس,مدیریت,فروش,تولید,بازار,مهندسی,سود,اجازه
مرسدس بنز,2,خودرو,لوکس,آلمان,کمپانی,مهندسی,سرعت,شعار,صندلی,رانندگی,مدل
هامر,3,ماشین,اتومبیل,بزرگ,شاسی,نظامی,SUV,گازوئیل,سفر,وزن,قدرتمند
ال ۹۰,2,خودرو,ماشین,مدل,ایران,تولید,سدان,اقتصاد,فروش,چین,قیمت
پژو 207,2,خودرو,فرانسوی,کمپانی,مدل,موتور,صندلی,رانندگی,گاز,پشت‌سری,لوازم یدکی
خرخوان,1,دوره‌گرد,کتاب,خواندن,آموزش,کتابخانه,معلومات,تحصیل,علم,مطالعه,ادبیات
شوفِر,1,راننده,موتور,خودرو,مسافر,جاده,پلاک,گاز,ترمز,سفر,ترافیک
قنات,2,آب,چاه,زیرزمینی,کشاورزی,منطقه,نهر,ناحیه,فراوانی,راه,مرکز
موزر,3,حالت,مو,کوتاه کردن,مراقبت,صورت,برقی,شکل,توصیف,آرایش,زیبایی
ذرت مکزیکی,2,خوراک خیابانی,پاپ کورن,ادویه,سبزیجات,کباب,مخلوط,داغ,سسی,تنقلات,غذا
آلبالو پلو,2,برنج,غذا,ميوه,خوراك,شربت,ترش,خوردن,رنگين,مراكش,شلوغ
اِشکنه,2,غذا,خوردنی,آش,لوبیا,غلیظ,تنوع,پختن,دسر,ماهی,محلی
آش دوغ,2,ماست,سبزی,آش,فصل تابستان,خنک کننده,نوشیدنی,غذا,ترش,گلابی,آشپزی
انبار دار,2,محل ذخیره,ذخیره سازی,کالا,سیستم انبارداری,مدیریت موجودی,بارگیری,توزیع,فراوری,تدارکات,حمل و نقل
شیشه گر,3,جواهر,ذوب,دست ساز,شکستنی,حرارت,صنعتی,هنر,ظروف,شکستن,مدل سازی
معدن چی,2,گودال,کانی,استخراج,ماده,معدنی,مکان,کارگر,حفاری,فلز,فعالیت
سبزی فروش,2,بازار,سبزیجات,غذایی,فروشنده,میوه,سبز,تره,خوراکی,فروش,محصولات
کمیاب,2,نادر,کاهش,محبوبیت,غیرمعمولی,پیدا کردن سخت,عرضه,موجودی کم,قیمت بالا,تقاضا,کمبود
مدرسه,1,آموزش,کلاس,دانش آموز,معلم,کتاب,ساعت,تدریس,تکلیف,دانشگاه,فضا
لینوکس,3,سیستم‌عامل,اوپن سورس,مشتق از UNIX,برنامه‌نویسی,کامپیوتر,سرور,خط فرمان,توزیع,پوشه,هسته
سکنجبین,2,شیرین,ترش,مُشکن,نوشیدنی,گیاهی,سرما,خشک,عسل,سرماخوردگی,مردم
مثل آب خوردن,1,ساده,آسان,حداقل تلاش,بدون زحمت,راحتی,مشکل نداشتن,عملکرد ساده,بدیهی,بدون دشواری,فوری
رنگینک,3,شیرینی,خمیر,تزیینات,عید,خوشمزه,ماست,غذا,بچه‌ها,فصل تابستان,قند
سشوار,1,مو,خشک کردن,آرایش,گرما,برق,حالت دادن,وسایل,استفاده,برس,سر
اتو,1,پرس,بخاری,بخار,لباس,شکل,آشپزخانه,نحوه,گوله,حرارت,مخلوط
ضبط صوت,2,موسیقی,پخش,صدا,صدای فیلم,دنیا,نوار,دستگاه,تکنولوژی,گوش دادن,صوتی
فلاسک,1,نوشیدنی,حرارت,حفظ,ظرف,مشتری,چای,قهوه,پلاستیک,سفر,دمای
هدفون,1,صدا,گوش,موسیقی,بلندگو,جک,سیم,محدود,نوازنده,فردی,کیفیت
گوشت کوب,1,آشپزي,غذا,پوره,چیزی را له کردن,خرد کردن,ابزار,مخلوط کردن,مسطح کردن,سیب‌زمینی,فلز
جانماز,1,نماز,مذهب,سجده,عبادت,مسلمان,روح,قرآن,دعا,محل,پیشانی
سینک ظرفشویی,2,آشپزخانه,شستن,آب,ظرف,قاشق,لوله,صابون,اجاق,شیر,ابزار
مرغ همسایه غازه,2,پرنده,گوشت,کشاورزی,حیاط,مزرعه,آشپزی,محلی,صدا,تخم‌گذار,غذای صبحانه
بدترکیب,3,نامنظم,غیرمعمولی,مشوش,مختلط,بی‌نظم,فاسد,پراکنده,نادرست,مادۀ ناخالص,اختلال در ساختار
نورانی,2,درخشان,شعاع,نور,تابناک,جلوه,تابش,تابناکی,روشنایی,سفید,قمر
غسال,2,مرگ,مرده,تدفین,اعمال,پاکسازی,عبادت,غسل,سنت,دینی,پیکر
آجیل,2,خوراکی,مغزها,خوشمزه,دکتر,مهمانی,چاشنی,میوه خشک,تنقلات,بسته بندی,گردو
شیرینی,1,دسر,شیرین,کیک,درست کردن,مزه,خوراکی,عید,شکر,مهمانی,فنجان
فلفل نبین چه ریزه,2,ادویه,مکمل,طعم,سردی,گرمی,غذا,مرغوب,رنگین,چاشنی,پرادویه
بابای مدرسه,2,مربی,تحصیل,کلاس,آموزش,دانش‌آموز,کتاب,درس,ساعت,مدیریت,پژوهش
پیشی بیا منو بخور,3,گربه,خوراک,شکار,دوستان,پشت,حیوانات,پا,پینگول,بازی,صدا
میز ناهارخوری,2,غذا,خوردن,صندلی,غذای خانواده,دکوراسیون,مجموعه,مناسبت,صرف,فضا,آشپزخانه
مربی بهداشت,3,سلامت,آموزش,تغذیه,پیشگیری,رژیم,فعالیت,ورزش,مشاوره,بیماری,آگاه‌سازی
کارمند بانک,1,سرویس,پول,اعتبار,حساب,بانکداری,کارت اعتباری,وام,شعبه,تراکنش,دریافت
دورویی,2,نفاق,دوچهرگی,فریب,تظاهر,دروغ,نیرنگ,شخصیت,ازدواج,پنهان,منافع
قطب,1,جغرافیا,شمال,جنوب,نقطه,قطب‌نما,قطب‌نمایی,جهت,مغناطیس,قطبی,چهارچوب
شوره زار,2,بیابان,خشکی,تپه,گیاهان,نمک,سوزان,نقص,اجازه,طبیعت,مرداب
رییس جمهور,2,سیاستمدار,حکومت,انتخابات,قدرت,دولت,مقام,شهروند,کشور,قانون,اختیارات
جلاد,2,مجازات,مرگ,تنبیه,خونین,قساوت,شکنجه,جنگ,اهریمن,ترسناک,قتل
ببر بنگال,3,حیوان,وحشی,گربه,پوزه,خط کشی,ترسناک,جنگل,شکار,مورچه,حفاظت
تخته وایت برد,2,نوشتن,تحصیل,مدرسه,علامت,تدریس,پاک کن,قلم,درس,شکل,مفاهیم
کشتی کج,2,ورزش,طرفداران,حریف,سربازان,کشیت,حلقه,زخمی,قهرمانی,کفن,نمایش
حمید سوریان ,3,کشتی,مدال,قهرمان,ورزشکار,ایران,المپیک,رقابت,تکنیک,سوری,برنده
خوکچه هندی,3,حیوان خانگی,موش,جنوب آمریکا,نژاد,پوزه,جوندگان,گربه,غذا,پشمالو,صدای جیک جیک
مثل برج زهرمار,3,ساختمان,معماری,تهران,گلابی,ترسناک,سریال,محل کار,پلیس,جنایت,پنهان
علوم تجربی,2,آزمایش,بافت,ماده,داده,تحقیق,فیزیک,شیمی,زیست‌شناسی,دستگاه,پدیده
کیا موتورز,2,خودرو,ایران,شرکت,تولید,مدل,موتور,فروش,صنعت,مهندسی,راننده
پروتون,2,نوترون,الکترون,هسته,ذره,بار مثبت,نیرو,فیزیک,انرژی,اتم,ماده
بی وای دی,2,مدل,خودرو,چینی,برقی,سرعت,محیط زیست,طراحی,لوکس,سدان,قیمت
ساندرو,2,خودرو,رنو,ماشین,اتومبیل,کمپانی,طراحی,قیمت,مدل,فروش,شاسی
جگوار,2,حیوان,پستاندار,شکارچی,حیات وحش,سرعت,نقطه‌دار,آفریقا,درختان,بزرگ,گربه
واکسی,2,ایمنی,پیشگیری,بیماری,مصونیت,تزریق,اقدام,سلامت,ویروس,دفاع,جمعیت
ویتارا,2,خودرو,اس‌یو‌وی,ژاپنی,موتور,کراس‌اوور,قیمت,فروش,راحتی,طراحی,مسافرت
زامیاد,3,خودرو,ماشین,تولید,شاسی,نیازمندان,رانندگی,موتور,دوران,مشتری,پیشرانه
کوئیک,3,سرعت,فوتبال,تیم,بازی,میدان,گل,پیکان,دوستانه,ضربه,مسابقه
گنجه,3,کمد,لوازم,ذخیره,دکوراسیون,مبلمان,خشک‌کن,نظم,کالای خانگی,پنهان,فضای داخلی
بوفه,1,خوراکی,سرو,غذا,رستوران,ناگت,دسرت,نوشیدنی,کتابخانه,بیرون,جمع
دوست داشتنی,2,عزیز,محبت,دوستی,جذاب,دوست,لطیف,گرم,شیرین,روحیه,دلنشین
تردمیل,2,ورزش,حرکت,دویدن,بدنسازی,تجهیزات,کاردیو,سوزاندن چربی,شیب,سرعت,تعادل
عالی,2,بی‌نظیر,بهترین,فوق‌العاده,عجیب,محشر,شگفت‌انگیز,سحرآمیز,کامل,خارق‌العاده,فراموش‌نشدنی
ماست‌ و خیار,2,غذا,سبزیجات,سالاد,تازه,ترشی,خوراک,پیشنهاد,سرو,طرز تهیه,موسیر
اسکات,2,مربوط به تیراندازی,کشور اسکاتلند,زبان گالی,سرباز,پرچم,تاریخی,کلاه,آداب و رسوم,موسیقی سنتی,چای
TRX,2,تمرین,ورزش,تناسب اندام,کشش,حرکت,پرده,معلق,بند,خود,وزن
شکلات سنگی,3,دسر,شیرینی,فندوق,کاکائو,درخت,راز,خوراکی,بخشیدن,محبوب,شیرین
حسن یزدانی,2,کشتی,ورزشکار,ایران,مدال,قهرمان,المپیک,تکنیک,رقیب,سالن,تمرین
غلام رضا تختی,2,کشتی‌گیر,قهرمان,ایران,تختی,المپیک,ورزش,دلیر,مردمی,تاریخ,افتخار
سر زدن ,2,مراجعه,دیدار,حضور,سرکشی,چشم‌پوشی,خبر,غیبت,دوست,تماس,فضا
دم به تله دادن ,3,گرفتاری,دام,فریب,دستگیر,تله,نقشه,شکار,چالاکی,خطا,اجبار
چرخ گوشت,1,گوشت,خرد کردن,پختن,غذا,سوسیس,صبحانه,ماشین,آشپزی,مجهز,صفحه
فریزر,1,یخچال,سرما,غذا,محفظه,مواد غذایی,سرد کردن,یخ,نگهداری,نگهداری مواد,کاهش دما
ظرف مسی,2,آشپزی,فلز,گرم,مخلوط کردن,ظرف,دستگاه,سرو غذا,نقاشی,قدیمی,لوازم خانگی
بدبخت,1,ناتوان,محنت,فقر,بدشانس,ناکامی,رنج,یأس,تیره‌روزی,مشکل,نقص
ساعی,2,کوشش,تلاش,کاردانی,زحمت,کار,تعهد,پشتکار,عزم,پایداری,پیشرفت
فتیله پیچ شدن,2,پیچ,دستگاه,تنیدگی,چرخیدن,تکیه گاه,میله,کشیده شدن,نظم,سر و صدا,حرکت
صف صبحگاهی,2,صبح,منتظر,اوتوبوس,جمعیت,ترافیک,ایستگاه,ناخوشایند,زود,خواب آلودگی,مسافرین
چُلمن,3,مبلمان,نشستن,آشپزخانه,کنار,چای,راحتی,غذاخوری,جلو,بازی,میهمانی
لاکچری,2,گران,تجملاتی,عالی,لوکس,خاص,شیك,منحصر به فرد,زیبا,استثنایی,سرویس
بسیارعالی,3,عالی,بسیار,خوب,عجیب,کامل,محشر,فوق‌العاده,علاقه‌مند,غیرقابل‌باور,شگفت‌آور
کلیشه ,3,قالب,تکراری,متداول,سنتی,غیرمبتکر,کلی,پیامد,نظر,تصور,شکل
سبیل گرو گذاشتن ,2,مو,چهره,بایدن,زود,مردانه,لثه,معمول,زیر,دستمالی,فرم
با دیوار حرف زدن ,3,تنهایی,مغلطه,معامله,دوستانه,ایده,مؤثر,دمی,احساس,گوش دادن,صنعتی
دنیا دیده ,3,سفر کرده,تجربه,مردم,فرهنگ,کشور,زندگی,گشت و گذار,چشم انداز,علاقه,تفاوت
مرغ همسایه غازه,2,پرنده,صدا,پیش بابا,گنجشک,مرغوب,آشپزی,نر,تخم,خوراک,حیاط
بارکج به منزل نمیرسد,2,نمی‌رسد,باران,خواب,سرما,کار,تأخیر,مسافر,سفر,خارج,جاده
صدف مرواریدساز,3,مروارید,صدف,زینت,دریا,محصول,جواهر,مخزن,عملیات,پرورش,جعبه
کف زدن,1,تشویق,صدا,دست,نواختن,جمعیت,شادی,ایجاد,رقص,حماسه,تماشا
پورشه کاین توربو,3,خودرو,اسپرت,لوکس,سرعت,موتور,پوشش,تکنولوژی,قیمت بالا,رانندگی,پرفورمنس
کارگر ساختمان,2,ساخت و ساز,دستیار,سختی,حرفه,ابزار,مشاغل,سازه,دانش فنی,کارگاه,بنا
چاقالو,2,پفکی,بزرگ,خوراکی,دسر,شیرین,ترد,فست فود,خوشمزه,تنقلات,چیپس
دست کج ,1,دزدی,سرقت,غیرقانونی,مال,پول,جرم,ناحق,زندان,دست‌برد,امانت
پراید 111,2,خودرو,ایران,سدان,فولکس,محصول,کمپانی,اقتصاد,موتور,قیمت,طراحی
کیا اسپورتیج,3,خودرو,ماشین,شاسی‌بلند,کراس‌اوور,برند,کره‌ای,سواری,دستگاه,موتور,فضای داخلی
X60,2,خودرو,سرعت,مدل,اتومبیل,شورلت,سواری,محیطی,طراحی,تکنولوژی,باریک
النترا,2,خودرو,کاپوت,هیوندا,اتومبیل,مدل,سرعت,چرخ,موتور,طراحی,دنده
پراید وانت,2,خودرو,ماشین,حمل و نقل,چرخ,بار,جاده,ایران,سوزوکی,بنزین,خدمات
ﻛﻮﻓﺘﻪ تبریزی,2,غذا,مخلفات,نون,باقلوا,گوشت,سبزیجات,ادویه,آشپزی,رایج,تبریز
دکتر,1,پزشکی,تشخیص,درمان,بیمار,پزشک,سازمان,مطب,نسخه,دارو,معاینه
ﻓﺮﻭﺷﻨﺪﮔﻲ,2,کالا,پیشه,تجارت,بازار,مصرف,قیمت,مشتری,محصول,عرضه,فروش
آزاده,1,آزادی,مستقل,خودمختار,نه به بردگی,حق انتخاب,فردیت,بخشیدن,تجربه,نبود قید,مقابل کنترل
تهی دست,2,فقیر,نیازمند,کمبود,فقر,بدبخت,عustin,قبضه,تنگنا,کم سرمایه,زندگی سخت
سخت کوش,2,کوشش,تلاش,کار,پشتکار,زحمت,صبر,پیشرفت,عزم,جدیت,پایداری
ماژیک وایت برد,2,نوشتن,حذف,پوششی,تخته,سفید,دستمال,قلم,دبستان,خودکار,نشان‌گذاری
سوزن تو انبار کاه ,3,چیز کوچک,پنهان,دقت,جستجو,کاه,اتاق,سخت پیدا کردن,رایگان,چند ساعت,بیش از حد
آب خنک خوردن ,1,نوشیدنی,سرد,تشنگی,تابستان,یخ,راحتی,خنکی,منعش,صفا,آب و هوا
مسئول بهداشت,3,پزشکی,سلامت,نظارت,مدیریت,محیط,بیماری,خدمات,پیشگیری,غذایی,سالم
نماینده آبخوری,3,آب,خوری,نوشیدن,تامین,مدیر,فروش,محصولات,سرویس,منبع,توزیع
جشن الفبا,2,خواندن,نوشتن,آموختن,مدرسه,کتاب,زبان,کودکان,آموزش,تحصیل,مناسبت
جشن تکلیف,2,مناسبت,قدرت,مذهبی,تعهد,سن,دختر,پسر,آیین,تحصیلی,کودک
خمیده,2,کج,نیمه,قوس,چرخیده,مُدور,فشرده,پیچیده,منحنی,نرمی,حالت
پر حرف,1,زبان دراز,حرف زدن,چیز گفتن,گفتگو,بی‌پروایی,حرف زیادی,حرف‌های بیهوده,مبالغه,پرسش زیاد,شکم‌پر
قند تو دل آب شدن,2,شکر,نوشیدنی,گرما,حل شدن,مذاب,موقعیت,غذای شیرین,دسر,تبدیل,بخیالی
فولکس واگن,2,خودرو,آلمان,ماشین,مدل,شعار,تولید,موتور,برند,سدان,شهرت
عود,1,بوی خوش,موسیقی,چوب,عطر,آتش,سنتی,ساز,مراسم,شادی,دستگاه
ویولن سل,2,ساز,موسیقی,نواختن,رشته,چوب,دوست,ملودی,کنسرت,تاندیم,کلاسیک
ترومپت,2,ساز,موسیقی,آواز,نوازنده,شور,هم نوازی,آلت موسیقی,پرچم,رویداد,کلاسیک
آکوردئون,2,ساز,موسیقی,نواختن,دستگاه,کلاویه,وزنه,دستگاه تنفسی,پازلی,بازی,محیطی
شاطر,1,غذا,نان,آشپز,پختن,قنادی,شیرینی,مردم,فروش,محل,هنر
خراط,3,مغار,چوب,تراشیدن,هنر,صنعت,ساخت,دستگاه,خلاقیت,زیبایی,کنده‌کاری
